kpi_id,unit_id,month,year,target_value,
3,HUBLAN,12,2026,0.92855,
3,HUBTGG,1,2026,0.951482,
3,HUBTGG,2,2026,0.961191,
3,HUBTGG,3,2026,0.980609,
3,HUBTGG,4,2026,0.980609,
3,HUBTGG,5,2026,0.9709,
3,HUBTGG,6,2026,0.990318,
3,HUBTGG,7,2026,0.990318,
3,HUBTGG,8,2026,0.990318,
3,HUBTGG,9,2026,0.961191,
3,HUBTGG,10,2026,0.961191,
3,HUBTGG,11,2026,0.961191,
3,HUBTGG,12,2026,0.951482,
3,HUBTNH,1,2026,0.945406,
3,HUBTNH,2,2026,0.955053,
3,HUBTNH,3,2026,0.974347,
3,HUBTNH,4,2026,0.974347,
3,HUBTNH,5,2026,0.9647,
3,HUBTNH,6,2026,0.983994,
3,HUBTNH,7,2026,0.983994,
3,HUBTNH,8,2026,0.983994,
3,HUBTNH,9,2026,0.955053,
3,HUBTNH,10,2026,0.955053,
3,HUBTNH,11,2026,0.955053,
3,HUBTNH,12,2026,0.945406,
3,HUBVTU,1,2026,0.928648,
3,HUBVTU,2,2026,0.938124,
3,HUBVTU,3,2026,0.957076,
3,HUBVTU,4,2026,0.957076,
3,HUBVTU,5,2026,0.9476,
3,HUBVTU,6,2026,0.966552,
3,HUBVTU,7,2026,0.966552,
3,HUBVTU,8,2026,0.966552,
3,HUBVTU,9,2026,0.938124,
3,HUBVTU,10,2026,0.938124,
3,HUBVTU,11,2026,0.938124,
3,HUBVTU,12,2026,0.928648,
3,HUBAGG,1,2026,0.936782,
3,HUBAGG,2,2026,0.946341,
3,HUBAGG,3,2026,0.965459,
3,HUBAGG,4,2026,0.965459,
3,HUBAGG,5,2026,0.9559,
3,HUBAGG,6,2026,0.975018,
3,HUBAGG,7,2026,0.975018,
3,HUBAGG,8,2026,0.975018,
3,HUBAGG,9,2026,0.946341,
3,HUBAGG,10,2026,0.946341,
3,HUBAGG,11,2026,0.946341,
3,HUBAGG,12,2026,0.936782,
3,HUBBLU,1,2026,0.9506,
3,HUBBLU,2,2026,0.9603,
3,HUBBLU,3,2026,0.9797,
3,HUBBLU,4,2026,0.9797,
3,HUBBLU,5,2026,0.97,
3,HUBBLU,6,2026,0.9894,
3,HUBBLU,7,2026,0.9894,
3,HUBBLU,8,2026,0.9894,
3,HUBBLU,9,2026,0.9603,
3,HUBBLU,10,2026,0.9603,
3,HUBBLU,11,2026,0.9603,
3,HUBBLU,12,2026,0.9506,
3,HUBCMU,1,2026,0.942858,
3,HUBCMU,2,2026,0.952479,
3,HUBCMU,3,2026,0.971721,
3,HUBCMU,4,2026,0.971721,
3,HUBCMU,5,2026,0.9621,
3,HUBCMU,6,2026,0.981342,
3,HUBCMU,7,2026,0.981342,
3,HUBCMU,8,2026,0.981342,
3,HUBCMU,9,2026,0.952479,
